クラス名,備考
ガス漏れセンサ,
防犯センサ,
非常ボタン,
救急用センサ,
地震センサ,
漏電センサ,
人体検知センサ,
来客センサ,
呼び出しセンサ,
結露センサ,
空気汚染センサ,
酸素センサ,
照度センサ,
音センサ,
投函センサ,
重荷センサ,
温度センサ,
湿度センサ,
雨センサ,
水位センサ,
風呂水位センサ,
風呂沸き上がりセンサ,
水漏れセンサ,
水あふれセンサ,
火災センサ,
タバコ煙センサ,
ＣＯ２センサ,
ガスセンサ,
ＶＯＣセンサ,
差圧センサ,
風速センサ,
臭いセンサ,
炎センサ,
電力量センサ,
電流量センサ,
昼光センサ,
水流量センサ,
微動センサ,
通過センサ,
在床センサ,
開閉センサ,
活動量センサ,
人体位置センサ,
雪センサ,
家庭用エアコン,
冷風機,
扇風機,
換気扇,
空調換気扇,
空気清浄器,
冷風扇,
サーキュレータ,
除湿機,
加湿器,
天井扇,
電気こたつ,
電気あんか,
電気毛布,
ストーブ,
パネルヒータ,
電気カーペット,
フロアヒータ,
電気暖房器,
ファンヒータ,
充電器,
業務用パッケージエアコン室内機,
業務用パッケージエアコン室外機,
業務用パッケージエアコン蓄熱ユニット,
業務用ファンコイルユニット,
業務用空調冷熱源(チラー),
業務用空調温熱源(ボイラー),
業務用空調 VAV,
業務用空調エアハンドリングユニット,
ユニットクーラー,
業務用コンデンシングユニット,
電動ブラインド,
電動シャッター,
電動カーテン,
電動雨戸,
電動ガレージ,
電動天窓,
オーニング（日よけ）,
散水器（庭用）,
散水器（火災用）,
噴水,
瞬間湯沸器,
電気温水器,
太陽熱温水器,
循環ポンプ,
電気便座（温水洗浄便座、暖房便座 など）,
電気錠,
ガス元弁,
ホームサウナ,
瞬間式給湯器,
浴室暖房乾燥機,
ホームエレベータ,
電動間仕切り,
水平トランスファ,
電動物干し,
浄化槽,
住宅用太陽光発電,
冷温水熱源機,
床暖房,
燃料電池,
蓄電池,
電気自動車充放電システム,
エンジンコージェネレーション,
電力量メータ,
水流量メータ,
ガスメータ,
LP ガスメータ,
時計,
自動ドア,
業務用エレベータ,
分電盤メータリング,
スマート電力量メータ,
スマートガスメータ,
一般照明,シャンデリア、 スタンド、ブランケット、ダウンライト、スポット照明、ペンダント照明、シーリングライト、ウォールラ イト等を含む
非常照明,誘導灯、非常灯、 保安灯、防犯灯 等を含む
設備照明,
ブザー,
コーヒーメーカ,
コーヒーミル,
電気ポット,
電気こんろ,
トースタ,
ジューサ・ミキサ,
フードプロセッサ,
冷凍冷蔵庫,
オーブンレンジ,
クッキングヒータ,
オーブン,
炊飯器,
電子ジャー,
食器洗い機,
食器乾燥機,
電気もちつき機,
保温機,
精米機,
自動製パン機,
スロークッカ,
電気漬物機,
洗濯機,
衣類乾燥機,
電気アイロン,
ズボンプレッサ,
ふとん乾燥機,
小物・くつ乾燥機,
電気掃除機（セントラルクリーナ含む）,
ディスポーザ,
電気蚊取り機,
業務用ショーケース,
業務用冷蔵庫,
業務用ホットケース,
業務用フライヤー,
業務用電子レンジ,
洗濯乾燥機,
体重計,
体温計,
血圧計,
血糖値計,
体脂肪計,
セキュア通信用共有鍵設定ノード,
スイッチ（JEMA/HA端子対応）,
携帯端末,
コントローラ,
ディスプレー,
テレビ,